order_id,customer_id,invoice_id,product_name,quantity,unit_price,status,ordered_at
ORD-001,1,INV-001,DataFabrik Pro License ,2.0,500.0,completed,2024-02-01 10:00:00
ORD-002,1,INV-001,Support Package,1.0,250.0,Completed,2024-02-01 10:05:00
ORD-003,2,INV-002,datafabrik pro license,3.0,250.0,COMPLETED,2024-02-10 11:00:00
ORD-004,2,INV-002,onboarding service ,1.0,125.5,completed,2024-02-10 11:10:00
ORD-005,3,INV-003,DataFabrik Enterprise ,2.0,875.0,completed,2024-02-15 09:00:00
ORD-006,3,INV-003,Training Workshop,1.0,350.75,Completed,2024-02-15 09:15:00
ORD-007,4,INV-004,DataFabrik Starter ,1.0,450.0,pending,2024-03-01 14:00:00
ORD-008,5,INV-005,DataFabrik Enterprise,2.0,1200.0,completed,2024-03-10 10:00:00
ORD-009,5,INV-005,Support Package ,1.0,500.0,COMPLETED,2024-03-10 10:20:00
ORD-010,5,INV-005,Custom Integration,1.0,300.999,completed,2024-03-10 10:30:00
ORD-011,6,INV-006,DataFabrik Pro License,1.0,675.25,pending,2024-03-20 13:00:00
ORD-012,7,INV-007,datafabrik starter ,3.0,280.0,completed,2024-04-01 09:00:00
ORD-013,7,INV-007,onboarding service,1.0,140.0,Completed,2024-04-01 09:30:00
ORD-014,1,INV-008,DataFabrik Pro License,2.0,625.0,COMPLETED,2024-04-10 15:00:00
ORD-015,1,INV-008,Training Workshop ,1.0,250.5,completed,2024-04-10 15:15:00
ORD-016,3,INV-009,Support Package,1.0,250.75,pending,2024-04-20 11:00:00
ORD-017,8,INV-010,DataFabrik Enterprise ,4.0,900.0,completed,2024-05-01 10:00:00
ORD-018,8,INV-010,Custom Integration,2.0,300.0,Completed,2024-05-01 10:45:00
ORD-019,9,INV-011,DataFabrik Starter,1.0,720.33,pending,2024-05-10 14:00:00
ORD-020,10,INV-012,datafabrik pro license ,2.0,450.0,COMPLETED,2024-05-15 09:00:00
ORD-021,10,INV-012,Support Package,1.0,200.0,completed,2024-05-15 09:20:00
ORD-022,11,INV-013,DataFabrik Pro License,2.0,350.0,completed,2024-06-01 11:00:00
ORD-023,11,INV-013,Onboarding Service ,1.0,190.5,Completed,2024-06-01 11:15:00
ORD-024,13,INV-015,DataFabrik Starter ,2.0,230.0,completed,2024-06-20 10:00:00
ORD-025,13,INV-015,Training Workshop,1.0,100.0,COMPLETED,2024-06-20 10:30:00
ORD-026,15,INV-017,DataFabrik Enterprise,2.0,800.0,completed,2024-07-10 13:00:00
ORD-027,15,INV-017,Custom Integration ,1.0,200.0,completed,2024-07-10 13:45:00
ORD-028,2,INV-018,datafabrik starter,1.0,430.5,Completed,2024-07-20 09:00:00
ORD-029,6,INV-019,DataFabrik Pro License ,2.0,400.0,COMPLETED,2024-08-01 10:00:00
ORD-030,6,INV-019,Support Package,1.0,150.0,completed,2024-08-01 10:20:00
ORD-031,18,INV-021,DataFabrik Starter ,2.0,300.0,completed,2024-09-01 11:00:00
ORD-032,18,INV-021,Onboarding Service,1.0,180.0,Completed,2024-09-01 11:30:00
ORD-033,19,INV-022,datafabrik enterprise,2.0,950.0,completed,2024-09-10 14:00:00
ORD-034,19,INV-022,custom integration ,1.0,300.5,COMPLETED,2024-09-10 14:30:00
ORD-035,7,INV-024,DataFabrik Enterprise ,2.0,860.0,completed,2024-10-01 10:00:00
ORD-036,7,INV-024,Support Package,1.0,200.0,completed,2024-10-01 10:20:00
